air_raid	Air Raid (PAL).bin
alien	Alien (1982) (20th Century Fox Video Games, Douglas 'Dallas North' Neubauer) (11006) ~.bin
amidar	Amidar (1982) (Parker Brothers, Ed Temple) (PB5310) ~.bin
assault	Assault (1983) (Bomb - Onbase) (CA281).bin
asterix	Asterix (AKA Taz) (1984) (Atari, Jerome Domurat, Steve Woita) (CX2696).bin
asteroids	(curated) asteroids.bin
atlantis	Atlantis (Fotomania).bin
bank_heist	Bank Heist (Bonnie & Clyde, Cops 'n' Robbers, Hold-Up, Roaring 20's) (1983) (20th Century Fox Video Games, Bill Aspromonte) (11012) ~.bin
battle_zone	Battlezone (1983) (Atari - GCC, Michael Feinstein, Patricia Goodson, Brad Rice) (CX2681) ~.bin
beam_rider	Beamrider (1984) (Activision - Cheshire Engineering, David Rolfe, Larry Zwick) (AZ-037-04) ~.bin
berzerk	Berzerk (1982) (Atari, Dan Hitchens - Sears) (CX2650 - 49-75168) ~.bin
bowling	Bowling (1979) (Atari, Larry Kaplan - Sears) (CX2628 - 6-99842, 49-75117) ~.bin
boxing	Boxing (Dactari - Milmar).bin
breakout	(curated) breakout.bin
carnival	Carnival (1982) (Coleco - Woodside Design Associates, Steve 'Jessica Stevens' Kitchen) (2468) ~.bin
centipede	Centipede (1983) (Atari - GCC, Patricia Goodson, Josh Littlefield, Douglas B. Macrae) (CX2676) ~.bin
chopper_command	Chopper Command (1983) (Digitel).bin
crazy_climber	Crazy Climber (1983) (Atari - Roklan, Joe Gaucher, Alex Leavens) (CX2683) ~.bin
defender	Defender (Digivision).bin
demon_attack	Demon Attack (Robby).bin
double_dunk	Double Dunk (Super Basketball) (1989) (Atari, Matthew L. Hubbard) (CX26159) ~.bin
elevator_action	Elevator Action (Prototype).bin
enduro	(curated) enduro.bin
fishing_derby	Fishing Derby (Dactari - Milmar).bin
freeway	Freeway (Zellers).bin
frostbite	Frostbite (Fotomania).bin
gopher	Gopher (Gopher Attack) (1982) (U.S. Games Corporation - JWDA, Sylvia Day, Todd Marshall, Robin McDaniel, Henry Will IV) (VC2001) ~.bin
gravitar	Gravitar (1983) (Atari, Dan Hitchens, Mimi Nyden) (CX2685) ~.bin
hero	H.E.R.O. (Tron).bin
ice_hockey	Ice Hockey (Canal 3 - Intellivision).bin
jamesbond	James Bond 007.bin
journey_escape	Journey Escape (1983) (Data Age, J. Ray Dettling) (112-006) ~.bin
kangaroo	Kangaroo (1983) (Atari - GCC, Patricia Goodson, Josh Littlefield, Kevin Osborn) (CX2689) ~.bin
krull	Krull (Digivision).bin
kung_fu_master	Kung-Fu Master (1987) (Activision - Imagineering, Dan Kitchen, Garry Kitchen) (AG-039-04) ~.bin
montezuma_revenge	UNRESOLVED
ms_pacman	Ms. Pac-Man (1983) (Atari - GCC, Mark S. Ackerman, Patricia Goodson, Josh Littlefield, Douglas B. Macrae, Glenn Parker) (CX2675) ~.bin
name_this_game	Name This Game (1983) (Digitel).bin
pacman	Pac-Man (Fotomania).bin
phoenix	Phoenix (Zirok).bin
pitfall	(curated) pitfall.bin
pong	(curated) pong.bin
pooyan	Pooyan (1983) (Konami) (RC 100-X 02) ~.bin
private_eye	Private Eye (1984) (Activision, Bob Whitehead) (AG-034-04) ~.bin
qbert	(curated) qbert.bin
riverraid	River Raid (Tron).bin
road_runner	Road Runner (1989) (Atari - Bobco, Robert C. Polaro) (CX2663) ~.bin
robotank	UNRESOLVED
seaquest	(curated) seaquest.bin
skiing	Skiing (Dactari - Milmar).bin
solaris	Solaris (The Last Starfighter, Star Raiders II, Universe) (1986) (Atari, Douglas Neubauer, Mimi Nyden) (CX26136) ~.bin
space_invaders	(curated) space_invaders.bin
star_gunner	Stargunner (1983) (Telesys, Alex Leavens) (1005) ~.bin
surround	Surround (32 in 1) (Bit Corporation) (R320).bin
tennis	Tennis (Zirok).bin
time_pilot	Time Pilot (1983) (Rentacom).bin
tutankham	Tutankham (1983) (Parker Brothers, Dave Engman, Dawn Stockbridge) (PB5340) ~.bin
up_n_down	Up 'n Down (1984) (SEGA - Beck-Tech, Steve Beck, Phat Ho) (009-01) ~.bin
venture	Venture (1987) (Atari) (CX26145).bin
video_pinball	Video Pinball (Unknown).bin
videochess	Video Chess (Computer Chess) (1979) (Atari, Larry Wagner, Bob Whitehead - Sears) (CX2645 - 49-75181) ~.bin
wizard_of_wor	Wizard of Wor (1982) (CBS Electronics - Roklan, Joe Hellesen) (M8774, M8794) ~.bin
yars_revenge	Yars' Revenge (Canal 3 - Intellivision).bin
zaxxon	Zaxxon (1983) (Coleco) (2454) ~.bin
