phase,method,tradition,n_games,n_records,faithfulness,faithfulness_ci95,faithfulness_position_regime,faithfulness_content_regime,plausibility_proxy,triad_F,triad_S,triad_M,FSM_composite,is_positive_control,faith_source
phaseA_kording,A1_connectomics,intervention,6,6,0.4145,0.376,,,0.55,0.4145,0.9667,0.8611,0.7014,0,triad.F
phaseA_kording,A2_lesions,intervention,6,7,0.987,0.0121,,,0.55,0.987,0.6325,0.9344,0.8355,0,triad.F
phaseA_kording,A3_tuning,correlational,6,6,0.1161,0.1549,,,0.8,0.1161,0.1395,0.5727,0.2101,0,triad.F
phaseA_kording,A4_spike_word,correlational,6,6,0.2872,0.2465,,,0.8,0.2872,0.018,0.366,0.1238,0,triad.F
phaseA_kording,A5_local_field_potentials,correlational,6,6,0.3969,0.116,,,0.8,,,,,0,value:A5_global_pool_clock_explained_variance_fraction_epiphenomenal
phaseA_kording,A6_granger,correlational,6,6,0.1361,0.1572,,,0.8,0.1361,0.8026,0.1587,0.2588,0,triad.F
phaseA_kording,A7_dim_reduction,dim_reduction,6,6,0.6,0.1431,,,0.75,,,,,0,value:A7_nmf_matched_component_fraction_vs_known_vars
phaseA_kording,A8_wholestate,descriptive,6,6,1.0,0.0,,,0.3,1.0,1.0,0.0703,0.4127,0,triad.F
phaseB_attribution,expected_gradients,gradient,6,12,0.0339,0.0665,0.0,0.0679,0.9,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,extremal_perturbation,intervention,6,12,0.3456,0.1697,0.2016,0.4896,0.55,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,gradxinput_deeplift,gradient,6,12,0.3665,0.2395,0.0,0.733,0.9,,,,,0,value:deeplift_pearson_corr_with_oracle
phaseB_attribution,guided_backprop,gradient,6,12,0.2667,0.2142,0.0,0.5334,0.9,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,integrated_gradients,gradient,6,14,0.2792,0.1986,0.0,0.5303,0.9,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,kernelshap,gradient,6,12,0.4456,0.2033,0.2789,0.6122,0.9,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,lime,gradient,6,12,0.3816,0.2103,0.1666,0.5967,0.9,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,occlusion,intervention,6,12,0.482,0.2154,0.306,0.658,0.55,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,on_distribution_counterfactual,intervention,6,12,0.3498,0.2267,0.1394,0.5602,0.55,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,rise,gradient,6,12,0.3746,0.2068,0.169,0.5803,0.9,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,smoothgrad,gradient,6,12,0.2667,0.2142,0.0,0.5334,0.9,,,,,0,value:pearson_corr_with_oracle
phaseB_attribution,vanilla_saliency,gradient,6,12,0.2667,0.2142,0.0,0.5334,0.9,,,,,0,value:pearson_corr_with_oracle
phaseC_mechanistic,ACDC,causal,6,6,0.4452,0.3645,,,0.5,0.4452,0.3247,1.0,0.5248,0,triad.F
phaseC_mechanistic,activation_patching,causal,6,7,1.0,0.0,1.0,,0.5,,,,,0,value:max_abs_recovered_minus_exact
phaseC_mechanistic,attribution_patching,gradient,6,6,0.4959,0.2871,,,0.9,,,,,0,value:corr_approx_vs_exact
phaseC_mechanistic,causal_scrubbing,causal,6,6,1.0,0.0,,,0.5,,,,,0,value:scrubbing_preserved_performance_true
phaseC_mechanistic,interchange_interventions_das,causal,6,6,1.0,0.0,,,0.5,,,,,0,value:interchange_accuracy_aligned
phaseC_mechanistic,linear_probing_control_tasks,probing,6,6,0.1622,0.0861,,,0.85,,,,,0,value:mean_selectivity
phaseC_mechanistic,logit_tuned_lens,causal,6,6,1.0,0.0,,,0.5,,,,,0,value:logit_lens_fidelity_true_intermediate
phaseC_mechanistic,nmf_pca_dictionaries,dim_reduction,6,6,0.5417,0.1211,,,0.75,,,,,0,value:nmf_matched_component_fraction_vs_known_vars
phaseC_mechanistic,path_patching,causal,6,6,0.4643,0.3646,,,0.5,,,,,0,value:path_circuit_F1_vs_true_routine
phaseC_mechanistic,sparse_autoencoder,dim_reduction,6,7,0.1947,0.2772,,,0.75,0.0605,0.0923,0.098,0.0818,0,triad.F;value:feature_variable_matched_fraction
ground_truth,ORACLE,oracle,1,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,construction (oracle IS the §1 ground truth; counterfactual_core_summary: oracle-as-method corr=1/p@k=1)
